merge_id,stratum,num_intersecting_csv,status,split,files_materialized,files_scored,files_dropped,dropped_reasons,truncation_level,unit_tokens,over_30k
datastax_java-driver__7ff4958746,A,3,scored,heldout,2,2,0,,T3,28676,0
datastax_java-driver__e1535e89ad,A,3,scored,derivation,1,1,0,,T0,9516,0
datastax_java-driver__3eb34e6785,A,3,dropped_divergence,,1,0,1,conflict,,,
datastax_java-driver__0dd96ea21f,A,2,dropped_divergence,,1,0,1,conflict,,,
datastax_java-driver__1f25c7e3a0,A,3,scored,heldout,2,1,1,conflict,T0,12370,0
jsamoocha_linksalienceclassification__7aff5753c7,B,6,scored,derivation,5,4,1,conflict,T0,26147,0
jacquesberger_jsonparsingexample__ac521954c2,A,2,scored,derivation,1,1,0,,T0,3412,0
mikera_vectorz__d93ef1b341,A,2,scored,derivation,1,1,0,,T0,11036,0
progether_jadventure__e28401af85,A,2,scored,heldout,1,1,0,,T0,3875,0
progether_jadventure__9ce4a7106c,A,3,scored,heldout,2,2,0,,T0,6149,0
comatoes_ftl-profile-editor__e87fe65818,A,2,scored,derivation,1,1,0,,T2,25667,0
kohsuke_groovy-sandbox__568cd9469a,A,3,materialization_loss,,,,,,,,
iryndin_jdbf__9853124d73,A,2,scored,derivation,1,1,0,,T0,5499,0
vijay2win_flume-cassandra-sink__38cdbeced7,B,4,scored,derivation,3,3,0,,T0,7425,0
jiaqi_jmxterm__c6a0ae5c6c,B,4,scored,derivation,3,3,0,,T0,26454,0
jnr_jnr-unixsocket__f8f34e5634,A,2,scored,heldout,1,1,0,,T0,6995,0
jnr_jnr-unixsocket__467698b6bd,A,3,scored,derivation,2,2,0,,T0,10770,0
apache_commons-collections__15b62fb08d,B,4,scored,heldout,3,3,0,,T3,24383,0
apache_commons-collections__84e70353ad,B,4,scored,derivation,2,2,0,,T2,19049,0
apache_commons-collections__3c4d7e8b40,A,2,materialization_loss,,,,,,,,
apache_commons-collections__f0c2e97529,B,4,scored,derivation,3,3,0,,T2,17096,0
sonarcommunity_sonar-scm-activity__e078d44db1,B,6,scored,derivation,5,5,0,,T0,17948,0
masterthought_cucumber-reporting__d1ecdc4a98,B,5,scored,derivation,3,3,0,,T0,15262,0
cribbstechnologies_java-mandrill-wrapper__0cf79745f1,A,3,dropped_divergence,,2,0,2,conflict,,,
fasterxml_jackson-datatype-joda__4e6c266339,A,2,scored,heldout,1,1,0,,T0,10812,0
